"","site","latitude","longitude","fire_sev_infield","elevation","flii","Avg_mnth_tot_rain","Avg_mnth_ndvi"
"85","WWFSAR095",-37.554441,148.22669,"VH",439.717926025391,6.572,95.87890625,8345.77538320949
"86","WWFSAR096",-37.562619,148.225742,"VH",393.056854248047,6.616,95.87890625,8290.63426423432
"87","WWFSAR097",-37.569985,148.222113,"VH",395.605407714844,6.508,96.0184044471154,8052.92158821674
"88","WWFSAR098",-37.575923,148.216784,"H",394.987060546875,6.585,97.0250901442308,8116.88440750767
"89","WWFSAR099",-37.580789,148.208005,"H",478.333129882812,1.829,97.0250901442308,8133.8596482175
"90","WWFSAR100",-37.583269,148.199203,"L/M",469.106567382812,3.066,97.0250901442308,8189.55909298843
"91","WWFSAR101",-37.770888,148.373115,"UB",24.0066776275635,4.084,93.7313701923077,8046.4837866611
"92","WWFSAR102",-37.772366,148.364393,"UB",6.17437267303467,6.893,93.7313701923077,8455.47523699998
"93","WWFSAR103",-37.772876,148.355,"UB",17.7050437927246,4.313,93.7313701923077,8487.51386309477
"94","WWFSAR104",-37.777515,148.346358,"UB",39.038158416748,5.436,92.5661808894231,7966.34765761382
"95","WWFSAR105",-37.774767,148.335667,"UB",22.9110813140869,5.69,93.7313701923077,7912.82897313734
"96","WWFSAR106",-37.783619,148.334707,"UB",18.411922454834,8.276,92.5661808894231,8134.96481236321
"97","WWFSAR107",-37.789012,148.324608,"UB",6.63798522949219,8.697,91.8314302884615,8443.38714732269
"98","WWFSAR108",-37.784476,148.317222,"UB",11.4918422698975,8.538,91.8314302884615,8334.45057000197
"99","WWFSAR109",-37.781273,148.307922,"UB",16.440746307373,8.294,91.8314302884615,8125.09326862495
"100","WWFSAR110",-37.78041,148.299544,"UB",21.3929901123047,6.452,91.8314302884615,8054.84479918103
